location,latitude,longitude
BTM,12.9112758,77.6045654
Banashankari,12.9278196,77.556621
Banaswadi,13.0141618,77.6518539
Bannerghatta Road,12.8986402,77.6005275
Basavanagudi,12.9417261,77.5755021
Basaveshwara Nagar,12.991257,77.5384096
Bellandur,12.9320495,77.6842915
Bommanahalli,12.9034581,77.6230028
Brigade Road,12.9698993,77.606571
Brookefield,12.9652094,77.717936
CV Raman Nagar,12.9855509,77.668072
Central Bangalore,12.9730088,77.5804711
Church Street,12.9746938,77.6525547
City Market,12.965718,77.5762705
Commercial Street,12.9822157,77.6082513
Cunningham Road,12.990434,77.5908272
Domlur,12.9624669,77.6381958
East Bangalore,12.9287596,77.6287122
Ejipura,12.945245,77.6274776
Electronic City,12.8487599,77.648253
Frazer Town,12.9975851,77.6136744
HBR Layout,13.031992,77.6280789
HSR,12.9116225,77.6388622
Hebbal,13.0382184,77.5919
Hennur,13.037077,77.6413572
Hosur Road,12.8943812,77.6365242
"ITPL Main Road, Whitefield",12.9857,77.7367
Indiranagar,12.9732913,77.6404672
Infantry Road,12.9800074,77.6050137
JP Nagar,12.9096941,77.5866067
Jakkur,13.0784743,77.6068938
Jalahalli,13.0394104,77.5197351
Jayanagar,12.9292731,77.5824229
Jeevan Bhima Nagar,12.9678074,77.6568367
KR Puram,13.007516,77.695935
Kaggadasapura,12.9812262,77.6745845
Kalyan Nagar,13.0221416,77.6403368
Kammanahalli,13.0148544,77.6382029
Kanakapura Road,12.8622076,77.5303418
Kengeri,12.9176571,77.4837568
Koramangala,12.9357366,77.624081
Koramangala 1st Block,12.9277245,77.6327822
Koramangala 2nd Block,12.9243692,77.6242433
Koramangala 3rd Block,12.9282918,77.6254034
Koramangala 4th Block,12.9327778,77.6294052
Koramangala 5th Block,12.9348429,77.6189768
Koramangala 6th Block,12.9390255,77.6238477
Koramangala 7th Block,12.9364846,77.6134783
Koramangala 8th Block,12.9408685,77.617338
Kumaraswamy Layout,12.9150398,77.5678879
Langford Town,12.957998,77.6037312
Lavelle Road,12.9722287,77.5986661
MG Road,12.9755264,77.6067902
Magadi Road,12.9756527,77.5553548
Majestic,12.9779079,77.5723936
Malleshwaram,13.0027353,77.5703253
Marathahalli,12.9552572,77.6984163
Mysore Road,12.9466619,77.5300896
Nagarbhavi,12.9512353,77.519054
Nagawara,13.0422794,77.6248577
New BEL Road,13.0317246,77.570076
North Bangalore,13.0222347,77.5671832
Old Airport Road,12.9602175,77.6456992
Old Madras Road,12.990649,77.6558438
Peenya,13.0329814,77.5331801
RT Nagar,13.0227204,77.595715
Race Course Road,12.9819671,77.5766178
Rajajinagar,13.0005232,77.5496166
Rajarajeshwari Nagar,12.9274413,77.5155224
Rammurthy Nagar,13.0159,77.6785
Residency Road,13.0553065,77.6255268
Richmond Road,12.9664415,77.6077724
Sadashiv Nagar,13.0068,77.5813
Sahakara Nagar,13.0621474,77.5800614
Sanjay Nagar,12.9578658,77.6958748
Sankey Road,13.0029801,77.584001
Sarjapur Road,12.9246491,77.6382779
Seshadripuram,12.9946631,77.5747183
Shanti Nagar,12.9555367,77.5924278
Shivajinagar,12.9855286,77.6054496
South Bangalore,12.9287596,77.6287122
St. Marks Road,12.9727668,77.6013071
Thippasandra,12.973936,77.6509982
Ulsoor,12.9778793,77.6246697
Uttarahalli,12.9055682,77.5455438
"Varthur Main Road, Whitefield",12.9592423,77.7463002
Vasanth Nagar,12.9921738,77.591459
Vijay Nagar,12.9061307,77.5919954
West Bangalore,13.0222347,77.5671832
Whitefield,12.9957428,77.7579489
Wilson Garden,12.9489339,77.5968273
Yelahanka,13.1006982,77.5963454
Yeshwantpur,13.0221838,77.5530824
