"location","total_restaurants","market_share_pct","avg_rating","avg_cost","quality_score_pct","online_order_pct","unrated_pct"
"BTM","5056","9.9","3.57","396","65.6","65.9","23.4"
"HSR","2494","4.9","3.68","477","72.9","77.8","20.1"
"Koramangala 5th Block","2479","4.9","4.01","664","90.0","65.7","7.4"
"JP Nagar","2218","4.3","3.68","524","73.3","60.1","22.9"
"Whitefield","2105","4.1","3.62","600","64.6","54.3","25.5"
"Indiranagar","2026","4.0","3.83","652","80.9","66.4","11.4"
"Jayanagar","1916","3.8","3.78","477","82.5","71.6","14.7"
"Marathahalli","1805","3.5","3.55","512","61.6","64.0","22.0"
"Bannerghatta Road","1609","3.2","3.51","444","55.5","58.1","23.9"
"Bellandur","1268","2.5","3.53","530","59.8","61.4","21.5"
"Electronic City","1246","2.4","3.49","498","55.2","46.2","33.2"
"Koramangala 1st Block","1236","2.4","3.70","431","76.4","68.8","31.1"
"Brigade Road","1210","2.4","3.70","649","73.5","59.5","13.4"
"Koramangala 7th Block","1174","2.3","3.85","593","85.4","68.5","10.3"
"Koramangala 6th Block","1127","2.2","3.78","620","81.7","60.7","6.7"
