"value_rank","location","total_restaurants","avg_rating","avg_cost","quality_score_pct","online_order_pct","unrated_pct","value_score"
"1","City Market","122","3.54","302","61.3","27.9","38.5","1.169"
"2","Koramangala 8th Block","294","3.74","359","75.5","72.1","27.9","1.043"
"3","Basavanagudi","684","3.67","361","74.3","67.1","13.0","1.017"
"4","Varthur Main Road, Whitefield","109","3.58","356","67.9","87.2","22.9","1.007"
"5","Thippasandra","191","3.55","354","58.5","40.3","31.9","1.005"
"6","Hennur","159","3.50","384","46.5","65.4","28.3","0.912"
"7","Commercial Street","370","3.56","392","61.9","37.8","27.0","0.907"
"8","Majestic","155","3.50","387","52.3","16.8","28.4","0.904"
"9","BTM","5056","3.57","396","65.6","65.9","23.4","0.902"
"10","Jeevan Bhima Nagar","268","3.59","399","64.4","75.7","7.8","0.901"
"11","Banaswadi","640","3.50","396","59.4","52.7","27.7","0.885"
"12","HBR Layout","153","3.68","422","70.7","67.3","35.3","0.872"
"13","Banashankari","902","3.65","422","71.9","55.8","17.5","0.865"
"14","Koramangala 1st Block","1236","3.70","431","76.4","68.8","31.1","0.857"
"15","Wilson Garden","246","3.54","413","61.0","49.6","24.0","0.856"
