"popularity_rank","quality_rank","primary_cuisine","total_count","rated_count","avg_rating","vs_platform_avg","avg_cost","avg_votes","quality_score_pct","online_order_pct","unrated_pct","performance_index","performance_tier"
"1","39","North Indian","12117","9692","3.59","-0.11","589","266","64.4","60.1","20.0","8.72","At Par"
"2","39","South Indian","4982","3537","3.59","-0.11","329","88","65.7","49.4","29.0","7.00","At Par"
"3","16","Cafe","4281","3949","3.87","0.17","627","435","85.8","61.8","7.8","10.22","Above Average"
"4","30","Chinese","3040","2522","3.65","-0.05","600","232","68.8","64.9","17.0","8.64","At Par"
"5","44","Biryani","3011","2197","3.54","-0.16","416","187","57.2","64.3","27.0","8.04","At Par"
"6","45","Fast Food","2559","1871","3.53","-0.17","302","58","62.5","62.3","26.9","6.25","At Par"
"7","33","Bakery","2157","1447","3.63","-0.07","388","74","69.0","47.1","32.9","6.80","At Par"
"8","14","Desserts","2124","1673","3.88","0.18","382","143","88.0","65.4","21.2","8.37","Above Average"
"9","11","Continental","1803","1632","3.97","0.27","1119","883","90.7","46.3","9.5","11.71","Star Performer"
"10","29","Beverages","1232","940","3.69","-0.01","265","47","74.4","74.0","23.7","6.19","At Par"
"11","41","Andhra","1193","969","3.58","-0.12","547","211","69.1","60.2","18.8","8.32","At Par"
"12","18","Ice Cream","916","775","3.83","0.13","294","215","80.0","62.9","15.4","8.94","Above Average"
"13","41","Kerala","883","748","3.58","-0.12","423","138","65.1","62.2","15.3","7.68","At Par"
"14","37","Street Food","827","702","3.61","-0.09","225","123","61.3","55.3","15.1","7.55","At Par"
"15","35","Mithai","707","563","3.62","-0.08","262","66","67.1","56.0","20.4","6.61","At Par"
