"name","location","primary_cuisine","rest_type","rate","votes","cost_for_two","price_category","online_order","book_table","credibility_score"
"Byg Brewski Brewing Company","Sarjapur Road","Continental","Microbrewery","4.9","16832","1600","Premium","1","1","20.71"
"Toit","Indiranagar","Italian","Microbrewery","4.7","14956","1500","Premium","0","0","19.62"
"AB's - Absolute Barbecues","Marathahalli","European","Casual Dining","4.8","12121","1600","Premium","0","1","19.60"
"Truffles","Koramangala 5th Block","Cafe","Cafe, Casual Dining","4.7","14726","900","Premium","0","0","19.59"
"The Black Pearl","Koramangala 5th Block","North Indian","Casual Dining, Bar","4.7","10550","1400","Premium","0","1","18.91"
"AB's - Absolute Barbecues","BTM","European","Casual Dining","4.9","6490","1600","Premium","0","1","18.68"
"The Black Pearl","Marathahalli","North Indian","Casual Dining, Bar","4.8","7284","1500","Premium","0","1","18.54"
"Chili's American Grill & Bar","Malleshwaram","American","Casual Dining, Bar","4.8","6470","1400","Premium","1","1","18.29"
"Big Pitcher","Old Airport Road","American","Pub, Microbrewery","4.6","9300","1800","Premium","0","1","18.26"
"Barbeque Nation","Indiranagar","North Indian","Casual Dining","4.7","7270","1600","Premium","0","1","18.15"
