"location","total_restaurants","market_share_pct","avg_rating","avg_cost","quality_score_pct","online_order_pct","unrated_pct"
"Whitefield","812","6.7","3.61","565","63.8","48.4","28.2"
"BTM","695","5.8","3.56","382","64.1","56.4","26.2"
"Electronic City","691","5.7","3.48","463","54.1","43.1","36.9"
"HSR","678","5.6","3.65","444","70.2","65.3","25.2"
"Marathahalli","651","5.4","3.54","491","59.8","55.0","25.0"
"Indiranagar","520","4.3","3.79","607","77.5","53.3","16.3"
"JP Nagar","498","4.1","3.63","461","69.1","54.2","27.9"
"Bannerghatta Road","445","3.7","3.49","424","53.5","53.0","25.2"
"Jayanagar","351","2.9","3.77","444","80.1","58.7","18.2"
"Bellandur","346","2.9","3.50","487","56.3","53.5","24.0"
"Sarjapur Road","321","2.7","3.61","493","66.3","62.3","21.5"
"New BEL Road","300","2.5","3.64","436","70.4","51.3","28.0"
"Banashankari","282","2.3","3.62","377","70.4","45.0","23.4"
"Koramangala 5th Block","263","2.2","3.92","581","85.0","60.8","8.7"
"Kalyan Nagar","238","2.0","3.74","533","75.9","54.2","19.7"
