"value_rank","location","total_restaurants","avg_rating","avg_cost","quality_score_pct","online_order_pct","unrated_pct","value_score"
"1","Basavanagudi","205","3.69","340","74.1","52.2","15.1","1.084"
"2","Banashankari","282","3.62","377","70.4","45.0","23.4","0.962"
"3","BTM","695","3.56","382","64.1","56.4","26.2","0.931"
"4","Basaveshwara Nagar","103","3.60","398","67.7","44.7","36.9","0.905"
"5","Koramangala 1st Block","166","3.65","413","71.7","61.4","31.9","0.883"
"6","Rajajinagar","226","3.59","409","59.3","46.0","23.9","0.878"
"7","Frazer Town","188","3.63","423","70.4","46.8","24.5","0.857"
"8","Brookefield","174","3.57","420","59.3","60.9","19.5","0.851"
"9","Jayanagar","351","3.77","444","80.1","58.7","18.2","0.848"
"10","New BEL Road","300","3.64","436","70.4","51.3","28.0","0.836"
"11","Kammanahalli","177","3.65","437","72.2","50.8","28.8","0.835"
"12","HSR","678","3.65","444","70.2","65.3","25.2","0.823"
"13","JP Nagar","498","3.63","461","69.1","54.2","27.9","0.788"
"14","Malleshwaram","232","3.74","488","75.9","52.2","14.2","0.765"
"15","Sarjapur Road","321","3.61","493","66.3","62.3","21.5","0.733"
