"digital_rank","location","total_restaurants","online_order_pct","book_table_pct","vs_platform_avg","digital_score","avg_rating","avg_cost","market_type"
"1","Nagawara","103","85.4","4.9","32.6","61.3","3.50","431","Heavy Delivery"
"2","HSR","678","65.3","6.5","12.5","47.7","3.65","444","Balanced"
"3","Sarjapur Road","321","62.3","7.8","9.5","46.0","3.61","493","Balanced"
"4","Koramangala 1st Block","166","61.4","2.4","8.6","43.7","3.65","413","Balanced"
"5","Brookefield","174","60.9","7.5","8.1","44.9","3.57","420","Balanced"
"6","Koramangala 5th Block","263","60.8","19.8","8.0","48.5","3.92","581","Balanced"
"7","Koramangala 7th Block","143","60.1","9.1","7.3","44.8","3.76","522","Balanced"
"8","Jayanagar","351","58.7","11.7","5.9","44.6","3.77","444","Balanced"
"9","Ulsoor","117","57.3","12.8","4.5","43.9","3.73","689","Balanced"
"10","BTM","695","56.4","2.2","3.6","40.1","3.56","382","Balanced"
"11","Koramangala 6th Block","147","55.1","6.8","2.3","40.6","3.73","553","Balanced"
"12","Marathahalli","651","55.0","7.5","2.2","40.8","3.54","491","Balanced"
"13","Kalyan Nagar","238","54.2","14.3","1.4","42.2","3.74","533","Dine-in Leaning"
"13","JP Nagar","498","54.2","8.0","1.4","40.4","3.63","461","Dine-in Leaning"
"15","Bellandur","346","53.5","4.3","0.7","38.7","3.50","487","Dine-in Leaning"
