"location","dominant_cuisine","dominant_cuisine_count","total_restaurants","cuisine_share_pct","cuisine_avg_rating"
"Whitefield","North Indian","245","812","30.2","3.51"
"BTM","North Indian","200","695","28.8","3.45"
"Electronic City","North Indian","214","691","31.0","3.44"
"HSR","North Indian","166","678","24.5","3.59"
"Marathahalli","North Indian","232","651","35.6","3.50"
"Indiranagar","North Indian","95","520","18.3","3.69"
"JP Nagar","North Indian","119","498","23.9","3.59"
"Bannerghatta Road","North Indian","111","445","24.9","3.42"
"Jayanagar","North Indian","61","351","17.4","3.77"
"Bellandur","North Indian","117","346","33.8","3.43"
"Sarjapur Road","North Indian","89","321","27.7","3.53"
"New BEL Road","North Indian","75","300","25.0","3.59"
"Banashankari","South Indian","69","282","24.5","3.72"
"Koramangala 5th Block","North Indian","38","263","14.4","3.84"
"Kalyan Nagar","North Indian","41","238","17.2","3.60"
"Malleshwaram","South Indian","44","232","19.0","3.81"
"Rajajinagar","South Indian","53","226","23.5","3.53"
"Basavanagudi","South Indian","59","205","28.8","3.72"
"Banaswadi","South Indian","34","197","17.3","3.47"
"Frazer Town","North Indian","28","188","14.9","3.66"
