"popularity_rank","quality_rank","primary_cuisine","total_count","rated_count","avg_rating","vs_platform_avg","avg_cost","avg_votes","quality_score_pct","online_order_pct","unrated_pct","performance_index","performance_tier"
"1","22","North Indian","2930","2210","3.55","-0.08","540","181","60.5","53.3","24.6","8.02","At Par"
"2","21","South Indian","1440","966","3.57","-0.06","311","82","62.9","39.2","32.9","6.85","At Par"
"3","27","Biryani","790","543","3.50","-0.13","403","140","53.8","54.3","31.3","7.52","At Par"
"4","27","Fast Food","703","493","3.50","-0.13","297","53","57.8","51.9","29.9","6.07","At Par"
"5","19","Chinese","686","538","3.58","-0.05","545","166","62.5","57.0","21.6","7.96","At Par"
"6","9","Cafe","595","539","3.78","0.15","603","317","80.0","53.3","9.4","9.47","Above Average"
"7","18","Bakery","564","377","3.60","-0.03","389","55","65.8","41.7","33.2","6.30","At Par"
"8","7","Desserts","451","353","3.82","0.19","365","111","83.9","57.9","21.7","7.84","Above Average"
"9","12","Beverages","341","251","3.67","0.04","261","43","72.9","67.4","26.4","6.04","At Par"
"10","3","Continental","330","285","3.89","0.26","1030","631","86.0","42.7","13.6","10.89","Above Average"
"11","25","Andhra","323","253","3.52","-0.11","515","163","62.1","53.3","21.7","7.81","At Par"
"12","9","Ice Cream","250","209","3.78","0.15","281","149","73.7","50.8","16.4","8.22","Above Average"
"13","16","Street Food","237","188","3.61","-0.02","214","91","64.9","48.9","20.7","7.08","At Par"
"14","16","Mithai","198","153","3.61","-0.02","267","48","66.0","47.5","22.7","6.08","At Par"
"15","14","Pizza","197","184","3.64","0.01","587","427","65.8","86.8","6.6","9.59","At Par"
