"quality_rank","popularity_rank","primary_cuisine","total_count","avg_rating","vs_platform_avg","avg_cost","avg_votes","quality_score_pct","online_order_pct","performance_index","performance_tier"
"1","26","Asian","70","4.09","0.46","1141","700","85.2","60.0","11.62","Star Performer"
"2","24","American","87","4.03","0.40","1010","1172","89.7","62.1","12.38","Star Performer"
"3","29","Mexican","52","3.89","0.26","578","258","89.6","50.0","9.40","Above Average"
"3","10","Continental","330","3.89","0.26","1030","631","86.0","42.7","10.89","Above Average"
"5","17","Italian","132","3.84","0.21","965","584","85.6","59.1","10.62","Above Average"
"5","22","Finger Food","103","3.84","0.21","1468","420","85.7","15.5","10.09","Above Average"
"7","8","Desserts","451","3.82","0.19","365","111","83.9","57.9","7.84","Above Average"
"8","25","Seafood","75","3.80","0.17","697","213","83.1","70.7","8.85","Above Average"
"9","12","Ice Cream","250","3.78","0.15","281","149","73.7","50.8","8.22","Above Average"
"9","6","Cafe","595","3.78","0.15","603","317","80.0","53.3","9.47","Above Average"
"11","20","Healthy Food","110","3.72","0.09","469","175","72.1","68.2","8.36","Above Average"
"12","9","Beverages","341","3.67","0.04","261","43","72.9","67.4","6.04","At Par"
"12","19","Burger","125","3.67","0.04","452","254","72.8","90.4","8.83","At Par"
"14","15","Pizza","197","3.64","0.01","587","427","65.8","86.8","9.59","At Par"
"14","18","Arabian","131","3.64","0.01","489","215","70.7","62.6","8.49","At Par"
